Pulse height	Charge integral
0.123726	186
0.024905	6
0.111386	133
0.065931	89
0.153150	216
0.092192	117
0.026909	13
0.037244	32
0.043994	39
0.025010	18
0.041674	19
0.064454	96
0.093141	163
0.101367	187
0.134377	229
0.047896	5
0.103687	136
0.050533	11
0.081329	114
0.035346	28
0.067302	71
0.078059	136
0.041252	17
0.083016	121
0.071520	92
0.091031	116
0.075528	94
0.032182	7
0.096410	99
0.071099	34
0.025538	30
0.070888	110
0.025854	7
0.071942	76
0.072891	100
0.056439	65
0.063083	25
0.032393	19
0.046947	7
0.085020	116
0.026382	25
0.048846	59
0.037033	44
0.090504	129
0.037877	9
0.095039	146
0.071520	108
0.089344	131
0.039986	12
0.052748	55
0.058021	83
0.031760	30
0.025643	15
0.080590	122
0.031127	21
0.029756	7
0.090293	115
0.113812	174
0.029651	13
0.166017	252
0.039565	18
0.029545	23
0.024272	20
0.032815	23
0.040408	49
0.042939	48
0.066880	66
0.033237	23
0.052115	56
0.027753	16
0.086496	120
0.063083	68
0.038405	30
0.117398	177
0.026592	8
0.049373	6
0.031233	9
0.140284	212
0.050955	18
0.032815	13
0.051588	55
0.056228	81
0.099047	93
0.081961	152
0.052959	49
0.030811	2
0.025643	2
0.035873	38
0.134905	207
0.066564	57
0.070993	122
0.030917	33
0.028174	36
0.034080	30
0.057599	75
0.030178	11
0.110437	158
0.075001	93
0.037244	7
0.139018	183
0.037455	13
0.030811	54
0.080063	122
0.025116	25
0.050533	34
0.082172	130
0.044100	15
0.044100	6
0.182891	228
0.025643	18
0.036928	50
0.029651	10
0.044205	4
0.066036	99
0.028069	30
0.129526	190
0.066669	94
0.061396	90
0.100629	120
0.044943	23
0.099890	5
0.043678	2
0.056755	8
0.093774	139
0.107168	167
0.052009	38
0.026382	3
0.038194	30
0.029651	17
0.029335	8
0.157474	216
0.118769	178
0.038615	48
0.054435	46
0.089239	144
0.110542	138
0.037772	15
0.155681	227
0.025010	31
0.059287	60
0.031866	8
0.041252	18
0.077637	80
0.028596	35
0.049267	14
0.034924	18
0.063294	80
0.130370	207
0.128999	172
0.032288	21
0.036823	5
0.105691	192
0.081434	136
0.041779	46
0.062978	99
0.030389	16
0.036823	39
0.036823	41
0.047580	14
0.165595	232
0.111386	178
0.093141	125
0.035662	33
0.032182	32
0.034080	35
0.085969	83
0.051271	65
0.047685	49
0.101894	165
0.061607	82
0.036612	2
0.104320	112
0.091031	131
0.034819	42
0.032815	6
0.052431	49
0.080063	94
0.078481	143
0.077848	90
0.039248	3
0.027858	45
0.043045	38
0.042834	14
0.037139	25
0.043045	46
0.055912	54
0.103054	165
0.043678	63
0.051377	6
0.056861	79
0.037772	2
0.026909	9
0.087973	136
0.058759	20
0.105691	148
0.026065	8
0.085125	101
0.041147	30
0.034713	17
0.058654	2
0.031971	27
0.053802	26
0.049478	60
0.030811	33
0.028491	19
0.031760	29
0.026382	3
0.104109	156
0.029967	22
0.037139	37
0.035768	5
0.131635	169
0.075212	111
0.043678	33
0.023429	13
0.025643	13
0.031127	34
0.091875	143
0.044627	42
0.033237	15
0.028491	33
0.095250	163
0.061079	23
0.103160	108
0.047896	66
0.051271	11
0.066775	101
0.062661	13
0.048951	60
0.051482	70
0.128050	183
0.112441	177
0.034080	3
0.101051	128
0.150830	208
0.115183	167
0.091031	129
0.119507	202
0.080485	145
0.034819	29
0.044205	15
0.050533	67
0.031338	34
0.082700	106
0.059814	3
0.091453	93
0.035451	18
0.037983	62
0.036401	67
0.093246	168
0.059181	79
0.066669	60
0.038932	3
0.039459	37
0.024378	37
0.035768	32
0.068146	80
0.132268	218
0.031971	38
0.046842	43
0.034608	17
0.057177	114
0.107589	199
0.044521	38
0.033026	11
0.094195	117
0.042201	7
0.068357	80
0.080907	151
0.041147	6
0.027014	4
0.036084	31
0.152834	207
0.063189	74
0.028807	5
0.090926	150
0.091453	128
0.104215	168
0.032077	37
0.116659	219
0.055490	18
0.087024	9
0.065298	15
0.037244	32
0.052009	7
0.064454	75
0.084176	105
0.052115	10
0.032815	24
0.044205	60
0.069200	73
0.034819	2
0.062661	106
0.070571	92
0.058654	103
0.061923	59
0.074473	130
0.046525	2
0.083016	123
0.075317	101
0.038826	15
0.029651	18
0.040725	9
0.109488	133
0.064454	7
0.030073	33
0.040092	41
0.046842	62
0.067829	65
0.160322	238
0.143764	9
0.058759	75
0.028702	7
0.030389	3
0.049056	17
0.093879	157
0.097254	163
0.075212	10
0.051377	6
0.043678	8
0.105480	156
0.023850	3
0.056544	57
0.060974	77
0.137120	19
0.026698	20
0.083122	99
0.030073	34
0.055806	42
0.111281	163
0.159162	167
0.088289	123
0.043045	43
0.030706	33
0.052853	55
0.035557	11
0.033131	54
0.043256	13
0.053908	80
0.028174	7
0.107484	176
0.050217	60
0.027858	20
0.072575	120
0.033237	30
0.063716	96
0.080274	101
0.064032	74
0.028069	38
0.031760	3
0.027542	3
0.123304	195
0.035241	6
0.029229	12
0.082594	90
0.144608	184
0.092086	48
0.055490	57
0.049056	82
0.033659	25
0.024589	21
0.106851	151
0.081856	111
0.095988	82
0.029862	40
0.056966	82
0.115605	184
0.045787	5
0.028913	21
0.030495	6
0.036928	41
0.064032	103
0.085020	146
0.038405	8
0.025327	5
0.027331	5
0.040303	46
0.105902	148
0.063400	13
0.085125	94
0.056334	9
0.031971	3
0.039459	18
0.086918	124
0.122671	177
0.039881	39
0.027436	2
0.034713	40
0.025960	17
0.098625	156
0.023745	29
0.070888	95
0.074157	47
0.038826	14
0.036190	3
0.038510	3
0.043467	9
0.038932	11
0.045998	44
0.045576	60
0.028807	2
0.063400	59
0.029440	14
0.041358	19
0.046420	56
0.026698	3
0.097992	161
0.031233	5
0.074579	91
0.056544	14
0.027753	13
0.028280	6
0.047791	4
0.056439	18
0.158423	229
0.037244	53
0.058654	61
0.032815	12
0.106746	133
0.133745	164
0.039565	18
0.083122	110
0.049267	46
0.035030	12
0.037877	13
0.028702	28
0.061607	48
0.106851	148
0.105375	128
0.049267	64
0.029440	23
0.050322	58
0.076583	124
0.070044	49
0.026065	4
0.031760	17
0.066458	74
0.034186	36
0.039354	9
0.082067	106
0.028280	10
0.027963	31
0.110015	151
0.061501	108
0.061712	58
0.079641	88
0.049162	65
0.027436	10
0.054962	83
0.046842	20
0.102000	155
0.054752	5
0.035768	26
0.117609	226
0.029229	8
0.035873	7
0.141233	205
0.083227	129
0.128682	195
0.026592	16
0.039037	11
0.025221	14
0.061079	84
0.024483	42
0.146611	198
0.110331	122
0.033870	17
0.073946	137
0.046842	23
0.025116	29
0.050217	53
0.072364	77
0.027858	2
0.046947	8
0.105480	143
0.026698	10
0.119191	137
0.041252	8
0.096410	129
0.029018	6
0.027014	7
0.032182	4
0.050111	99
0.025538	23
0.054013	2
0.031233	27
0.093246	111
0.032709	9
0.108433	185
0.055068	68
0.039354	8
0.030284	22
0.095672	149
0.083754	126
0.046842	69
0.052431	75
0.049584	28
0.028174	4
0.034397	41
0.033764	20
0.055806	59
0.038826	47
0.038299	33
0.047685	70
0.073419	96
0.037244	61
0.080063	135
0.028596	33
0.023429	3
0.091875	162
0.043678	20
0.140600	202
0.107800	142
0.031971	57
0.054119	12
0.122038	225
0.148826	222
0.064032	98
0.076161	83
0.033764	25
0.055384	50
0.113074	212
0.054752	60
0.027014	11
0.080696	71
0.071731	101
0.038932	30
0.097148	133
0.043678	41
0.032288	10
0.063189	95
0.054119	45
0.049689	35
0.147877	235
0.038510	33
0.087129	124
0.042096	52
0.033342	26
0.064876	99
0.038194	25
0.105058	152
0.037561	14
0.111913	146
0.031866	15
0.025749	13
0.067618	87
0.106113	209
0.034502	27
0.119085	123
0.041885	8
0.051482	18
0.047264	76
0.044205	49
0.037139	17
0.061290	65
0.026803	8
0.144608	193
0.081961	118
0.045260	51
0.096727	144
0.026487	26
0.039670	5
0.029335	28
0.029862	15
0.105480	149
0.028385	35
0.062240	91
0.025432	15
0.063400	97
0.106218	134
0.071837	107
0.036612	2
0.026487	4
0.040725	55
0.037455	33
0.063716	63
0.030600	10
0.038826	22
0.060025	91
0.072681	110
0.062556	126
0.057705	74
0.057705	83
0.036084	14
0.074684	92
0.025960	3
0.151146	228
0.093774	119
0.082805	137
0.084387	137
0.040092	54
0.138912	231
0.111175	131
0.063716	41
0.049162	44
0.034502	58
0.058865	12
0.037983	28
0.048107	18
0.080696	145
0.060974	71
0.054119	51
0.024167	5
0.131635	204
0.033342	52
0.104636	166
0.071415	6
0.056755	85
0.146928	218
0.085336	79
0.068884	111
0.037772	9
0.041779	39
0.055279	77
0.123726	227
0.039670	53
0.041147	24
0.086602	136
0.143447	190
0.129315	168
0.035557	8
0.029124	15
0.079958	131
0.043783	68
0.043467	29
0.113917	172
0.031444	7
0.025116	6
0.033342	21
0.026487	5
0.059287	67
0.075950	58
0.026065	33
0.026276	4
0.032077	29
0.113390	207
0.037139	25
0.036295	4
0.147982	223
0.048740	59
0.045576	6
0.035873	20
0.041779	17
0.029440	12
0.085969	108
0.069306	19
0.058232	65
0.030600	8
0.026487	8
0.070466	104
0.066775	75
0.043361	45
0.023429	10
0.031760	4
0.047474	4
0.100629	169
0.119612	187
0.097781	136
0.028807	47
0.038615	9
0.045576	41
0.048529	67
0.048529	2
0.089028	123
0.120245	169
0.043572	41
0.054857	6
0.041990	13
0.033553	5
0.044732	8
0.057494	56
0.050427	89
0.114866	153
0.029651	24
0.109804	195
0.060130	11
0.119929	213
0.025643	7
0.056544	70
0.064982	84
0.072681	115
0.093246	155
0.045154	25
0.025538	25
0.074684	120
0.045787	61
0.113179	191
0.043678	63
0.051060	14
0.024378	13
0.024800	43
0.041568	27
0.031549	22
0.024905	20
0.042096	66
0.092930	132
0.086918	88
0.033764	36
0.137647	204
0.131635	179
0.051693	102
0.036823	3
0.043045	10
0.028280	6
0.040408	28
0.042623	61
0.024589	5
0.117609	197
0.122249	201
