Pulse height	Charge integral
0.201664	332
0.039037	34
0.041779	4
0.399621	638
0.225605	313
0.209468	293
0.246803	343
0.249967	313
0.043572	15
0.235835	321
0.239842	325
0.228663	303
0.228558	303
0.026382	28
0.030917	2
0.214742	301
0.030073	6
0.203879	292
0.213265	302
0.069728	53
0.261463	323
0.225077	327
0.218011	330
0.122144	34
0.084809	10
0.032288	31
0.191223	289
0.027225	14
0.024589	23
0.225710	288
0.068778	14
0.044416	51
0.235307	342
0.217800	334
0.024589	15
0.231300	299
0.053486	27
0.046631	5
0.038721	9
0.110226	123
0.215902	321
0.029862	8
0.028702	24
0.101156	159
0.051060	75
0.029124	7
0.214425	296
0.260935	308
0.038932	12
0.037244	57
0.039037	35
0.032077	18
0.059708	56
0.023956	14
0.096094	21
0.158634	254
0.070255	19
0.178251	301
0.229929	333
0.025854	12
0.030600	11
0.173716	135
0.042729	52
0.037772	16
0.216113	321
0.077426	112
0.112863	127
0.228874	332
0.041674	22
0.231511	323
0.101051	10
0.029440	47
0.028491	18
0.206937	330
0.265470	319
0.060658	21
0.241319	306
0.249440	342
0.219698	332
0.249123	337
0.024483	25
0.027858	7
0.052642	34
0.194492	283
0.065087	33
0.211894	320
0.074473	8
0.229190	317
0.032604	4
0.244905	367
0.230772	312
0.234042	302
0.024378	6
0.198500	293
0.040408	14
0.124675	19
0.052853	56
0.032077	28
0.252393	298
0.024694	7
0.078165	97
0.096621	127
0.226448	336
0.060763	28
0.213687	280
0.032288	40
0.243006	345
0.215374	342
0.201453	311
0.227292	347
0.068357	9
0.050744	64
0.028596	14
0.223601	318
0.024061	38
0.212000	272
0.029124	4
0.031655	25
0.202719	304
0.241213	324
0.248279	309
0.264521	325
0.263572	341
0.075845	45
0.244061	332
0.028596	29
0.173821	203
0.276544	331
0.039248	9
0.055279	72
0.213792	258
0.169286	277
0.214003	285
0.237944	343
0.042729	5
0.216113	302
0.043572	42
0.237100	327
0.025010	22
0.259142	331
0.080169	18
0.032288	40
0.082172	121
0.029967	3
0.225394	334
0.030284	30
0.088500	12
0.245854	311
0.023323	4
0.233620	340
0.027014	13
0.057177	95
0.027331	10
0.028807	23
0.026276	25
0.068462	17
0.284981	390
0.230878	314
0.210734	280
0.039143	31
0.128471	13
0.230456	310
0.208625	302
0.175403	272
0.038194	41
0.032288	17
0.212527	335
0.220437	317
0.246065	335
0.210101	338
0.203141	295
0.219277	269
0.045365	10
0.038405	65
0.068989	10
0.025538	7
0.195020	311
0.201137	330
0.036506	24
0.220964	324
0.255029	340
0.236995	325
0.249334	332
0.174243	276
0.196074	300
0.235729	268
0.233831	315
0.221913	300
0.174770	276
0.223179	323
0.254924	331
0.236995	343
0.143764	212
0.215585	299
0.261463	348
0.028913	43
0.047896	19
0.250283	345
0.044943	5
0.221175	298
0.244483	339
0.042729	63
0.206621	347
0.048424	17
0.194598	35
0.067618	10
0.220226	312
0.060447	11
0.171607	266
0.153256	208
0.212210	269
0.028807	30
0.027120	4
0.335921	577
0.247752	352
0.026171	27
0.245854	338
0.037244	50
0.057283	27
0.256506	339
0.092086	176
0.179516	297
0.033448	35
0.031760	3
0.048318	59
0.250811	347
0.199660	339
0.243428	336
0.076372	10
0.212000	342
0.045576	4
0.056439	62
0.044416	6
0.234147	309
0.230245	320
0.024061	30
0.630273	1435
0.024905	25
0.250494	304
0.043256	16
0.033237	8
0.034397	37
0.032288	29
0.278126	324
0.035451	48
0.197973	301
0.205461	290
0.175931	298
0.255978	365
0.077216	17
0.051904	15
0.131846	196
0.066353	13
0.216218	312
0.235307	334
0.026065	19
0.025538	9
0.214425	317
0.213054	297
0.034397	36
0.248596	359
0.208730	312
0.028702	40
0.268318	338
0.201769	313
0.213054	299
0.243006	322
0.221702	342
0.029545	19
0.023956	29
0.038510	40
0.075528	25
0.037033	4
0.263888	337
0.028913	18
0.231721	344
0.153256	249
0.026698	20
0.027120	6
0.264310	303
0.037772	33
0.044521	39
0.050744	5
0.143342	207
0.054224	11
0.054857	15
0.035451	33
0.039459	21
0.218222	297
0.043783	14
0.247858	316
0.240791	330
0.245116	347
0.212843	302
0.223390	292
0.048529	53
0.027225	22
0.249334	315
0.038826	74
0.032604	2
0.041779	45
0.226448	310
0.228979	298
0.203668	308
0.064771	3
0.024905	8
0.042307	48
0.218117	339
0.030284	17
0.220542	336
0.036190	6
0.216113	302
0.026065	20
0.238999	340
0.237838	332
0.030389	11
0.036401	45
0.245854	324
0.226554	320
0.025749	36
0.167282	242
0.029018	11
0.224233	355
0.230772	331
0.028174	32
0.055173	8
0.100312	182
0.168970	265
0.065403	22
0.028174	16
0.035241	18
0.196602	307
0.032393	9
0.063927	18
0.194176	274
0.030284	9
0.222652	330
0.039037	8
0.302488	333
0.030706	43
0.026382	29
0.040197	14
0.212210	321
0.230983	338
0.028596	38
0.078165	137
0.259248	343
0.027120	17
0.245959	322
0.227292	345
0.285192	315
0.030600	3
0.036401	35
0.027225	13
0.243534	316
0.097465	136
0.026276	31
0.200188	317
0.046736	30
0.047158	47
0.059708	14
0.211789	305
0.200926	281
0.029967	10
0.225499	310
0.067935	75
0.233514	310
0.245116	338
0.042201	4
0.082594	129
0.043572	47
0.037139	37
0.219277	302
0.247752	339
0.135538	29
0.242479	376
0.090926	7
0.033026	15
0.222441	340
0.232460	300
0.028807	14
0.243534	340
0.235518	292
0.241952	335
0.255346	322
0.228030	308
0.081645	51
0.069622	10
0.235624	351
