Pulse height	Charge integral
0.123482	139
0.199465	322
0.208845	304
0.212164	285
0.216485	296
0.188189	291
0.266069	321
0.099929	105
0.229658	318
0.227603	335
0.253159	316
0.292152	342
0.226128	327
0.259693	327
0.213481	323
0.200888	289
0.245097	339
0.249787	335
0.249418	345
0.202363	349
0.221069	322
0.236877	334
0.221175	338
0.313176	319
0.211426	331
0.219225	307
0.262538	356
0.253633	307
0.245519	329
0.227498	340
0.205736	316
0.107200	151
0.053243	58
0.289991	336
0.222650	316
0.232029	328
0.272287	325
0.215115	322
0.244043	367
0.210320	300
0.262591	339
0.276502	334
0.290044	340
0.188189	276
0.213850	316
0.242515	326
0.253265	335
0.312070	354
0.230238	310
0.195250	299
0.254898	339
0.180707	222
0.045866	5
0.205472	315
0.280349	348
0.247679	318
0.111521	177
0.232293	343
0.231555	309
0.242515	349
0.183815	296
0.227761	327
0.277451	361
0.193195	309
0.248575	326
0.241198	344
0.221912	332
0.214061	310
0.202416	315
0.208950	320
0.294734	311
0.226233	347
0.279558	357
0.201678	318
0.036012	3
0.238089	313
0.222650	324
0.207738	312
0.197516	320
0.262802	312
0.202258	305
0.251210	313
0.244992	337
0.289201	333
0.259324	322
0.236614	339
0.251842	323
0.261010	314
0.236034	321
0.239933	318
0.219488	316
0.227498	302
0.252685	339
0.255478	301
0.258376	320
0.195355	289
0.240197	337
0.233031	289
0.254845	315
0.227550	301
0.221912	324
0.239723	310
0.226813	337
0.244728	317
0.055877	3
0.290571	353
0.144190	24
0.239459	342
0.216011	331
0.340945	495
0.089179	12
0.243674	310
0.229658	320
0.234295	319
0.270442	329
0.140397	213
0.251947	351
0.246836	333
0.216222	314
0.238352	317
0.230080	287
0.231924	296
0.235191	343
0.247784	334
0.221491	330
0.281508	328
0.169220	267
0.191614	192
0.206631	307
0.195302	277
0.052558	32
0.268493	318
0.231186	325
0.236614	326
0.256110	339
0.251947	359
0.225285	320
0.284143	335
0.225970	319
0.133915	170
0.223862	339
0.202732	274
0.218856	312
0.210109	317
0.192510	304
0.223230	347
0.230554	331
0.198622	284
0.256848	337
0.205894	306
0.237457	328
0.214272	336
0.234295	320
0.241303	278
0.311437	343
0.238616	323
0.226444	367
0.233399	335
0.240460	334
0.232662	316
0.059671	13
0.247310	304
0.241619	304
0.224863	320
0.046182	40
0.217592	318
0.222545	325
0.184711	255
0.189875	282
0.223388	329
0.233821	327
0.217908	291
0.223915	328
0.250314	330
0.238932	284
0.234295	321
0.236772	338
0.236034	339
0.206263	285
0.222755	316
0.204734	313
0.217644	343
0.224389	284
0.165268	189
0.224810	328
0.213587	331
0.216274	292
0.228235	322
0.233610	322
0.210847	297
0.267439	350
0.254108	310
0.230449	317
0.230765	341
0.218593	318
0.257954	322
0.240408	331
0.203628	331
0.150514	197
0.216011	321
0.254160	334
0.203786	334
0.245203	305
0.244307	356
0.229869	626
0.263434	343
0.245361	335
0.259798	372
0.211163	283
0.190982	294
0.183025	283
0.216907	323
0.041703	3
0.238194	320
0.228815	332
0.223862	320
0.203470	301
0.266754	317
0.231344	364
0.224073	331
0.237773	351
0.217223	302
0.283299	283
0.254582	321
0.178704	285
0.232662	321
0.074899	79
0.226549	340
0.303323	351
0.256373	328
0.255688	346
0.296894	346
0.210478	281
0.234927	328
0.290624	359
0.240829	315
0.185396	310
0.227340	320
0.206579	329
0.233557	313
0.219857	322
0.229026	289
0.047552	46
0.242568	328
0.216011	330
0.163318	238
0.253528	327
0.255846	348
0.237351	326
0.224020	327
0.236456	342
0.200361	281
0.230290	315
0.306800	339
0.153096	195
0.244465	308
0.194617	280
0.228288	305
0.239828	326
0.256479	304
0.267228	340
0.243833	322
0.213481	313
0.294154	351
0.203628	309
0.250893	352
0.274342	595
0.270390	354
0.229922	324
0.256637	341
0.254371	347
0.214272	306
0.237193	323
0.246046	342
0.233716	309
0.221912	321
0.194986	342
0.227498	262
0.048395	49
0.222545	312
0.217012	303
0.248311	319
0.211848	331
0.248470	336
0.223282	328
0.226339	340
0.240776	323
0.234032	339
0.234822	265
0.213113	297
0.254845	347
0.222861	354
0.204998	312
0.064993	11
0.262749	343
0.259219	348
0.228130	324
0.215642	354
0.122270	125
0.220911	312
0.191298	294
0.264541	299
0.208528	351
0.263118	312
0.224020	305
0.270337	316
0.259482	341
0.192036	284
0.197990	294
0.204313	309
0.248838	321
0.219805	336
0.247679	346
0.239459	324
0.212006	327
0.060778	4
0.205683	313
0.239512	322
0.264646	341
0.251473	347
0.217750	325
0.246941	332
0.222387	303
0.230027	327
0.256690	364
0.222966	321
0.238036	312
0.263908	312
0.244992	306
0.239670	305
0.247363	343
0.217539	333
0.298844	343
0.269283	340
0.298370	333
0.275922	343
0.247152	321
0.217486	321
0.241988	334
0.258060	327
0.214904	317
0.163529	207
0.213060	328
0.297737	700
0.240460	312
0.228604	327
0.156995	229
0.256953	299
0.194196	325
0.204208	357
0.264014	344
0.247890	298
0.225548	316
0.240197	350
0.225548	303
0.256900	356
0.229764	325
0.223862	311
0.211532	258
0.259113	342
0.240724	317
0.252738	324
0.273551	348
0.190613	228
0.283036	344
0.237667	298
0.204629	327
0.259904	352
0.229395	282
0.226760	297
0.243042	342
0.239037	347
0.228183	308
0.217908	317
0.231186	328
0.219541	336
0.271970	368
0.229869	309
0.039543	3
0.233610	317
0.188031	264
